name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;360;0;523;3119;1020;3119;1020;0
header;179;155;179;192;1883;192;1883;155
A;784;214;784;239;798;239;798;214
A;993;217;993;245;1015;245;1015;217
A;547;359;547;366;553;366;553;359
A;410;403;410;410;417;410;417;403
A;782;440;782;441;783;441;783;440
A;410;489;410;515;425;515;425;489
B;706;718;706;744;720;744;720;718
A;643;772;643;779;650;779;650;772
A;997;840;997;841;997;841;997;840
B;986;885;986;914;1010;914;1010;885
B;662;1229;662;1248;676;1248;676;1229
A;803;1467;803;1468;804;1468;804;1467
C;982;1531;982;1559;1003;1559;1003;1531
D;983;2197;983;2225;1005;2225;1005;2197
B;712;2304;712;2322;726;2322;726;2304
